Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,52,7,SAIYAD ALTAF TAHIRALI,CPM,522,JAMALPUR-KHADIA,0.42,0.06,0
2012,52,8,DHOLKIYA PRAVINBHAI GANGARAM (ADVOCATE),IND,447,JAMALPUR-KHADIA,0.36,0.2,0
2012,52,9,PATHAN YUSUF KHAN HABIB KHAN,SP,194,JAMALPUR-KHADIA,0.16,0.03,0
2012,52,10,CHAUHAN MOHAMMAD SIRAJ GULAM MOHIYUDDIN,IND,151,JAMALPUR-KHADIA,0.12,0,0
2012,53,1,NARENDRA MODI,BJP,120470,MANINAGAR,75.38,54.05,0
2012,53,2,BHATT SHWETA SANJIV,INC,34097,MANINAGAR,21.34,20.41,0
2012,53,3,PAVANBHAI SHRAVANBHAI MAKAN,IND,1488,MANINAGAR,0.93,0.15,0
2012,53,4,KASHYAP SIDDHARTH YASHVANTRAY,BSP,1251,MANINAGAR,0.78,0.1,0
2012,53,5,VINOD BRAHMBHATT (ADVOCATE),CPI,1098,MANINAGAR,0.69,0.39,0
2012,53,6,PARESH SHUKLA (BHOLENATH),IND,478,MANINAGAR,0.3,0.12,0
2012,53,7,MERCHANT JAGDIPBHAI ARVINDBHAI,SP,292,MANINAGAR,0.18,0.03,0
2012,53,8,JIVANBHAI RAMABHAI PARMAR,DBSP,245,MANINAGAR,0.15,0.03,0
2012,53,9,CHAVDA AMARSINH BADARSINHJI,BhJD,201,MANINAGAR,0.13,0.01,0
2012,53,10,DR. DINESHBHAI SHANABHAI PATEL,NBN,187,MANINAGAR,0.12,0,0
2012,54,1,SHAILESH MANUBHAI PARMAR,INC,73573,DANILIMDA,53.38,10.37,0
2012,54,2,GIRISH PARMAR,BJP,59272,DANILIMDA,43,41.9,0
2012,54,3,SOLANKI BHAGWATIBEN BHARATBHAI,IND,1513,DANILIMDA,1.1,0.39,0
2012,54,4,NARENDRA SANKHALIA,LSWP,972,DANILIMDA,0.71,0.05,0
2012,54,5,DEVENDRAKUMAR BHANJIBHAI MAKWANA (D.B. MAKWANA),GPP,901,DANILIMDA,0.65,0.16,0
2012,54,6,PARMAR SURESHBHAI GALABHAI (SURESH PARMAR),IND,685,DANILIMDA,0.5,0.11,0
2012,54,7,RATILAL BIJALBHAI MAKWANA,JD(U),536,DANILIMDA,0.39,0.11,0
2012,54,8,DIPAK PARMAR,IND,389,DANILIMDA,0.28,0,0
2012,55,1,ARVINDKUMAR GANDALAL PATEL (ARVIND DALAL),BJP,107036,SABARMATI,70.5,44.52,0
2012,55,2,BHARATKUMAR GOVINDLAL PATEL (BHARAT VAKIL),INC,39453,SABARMATI,25.99,24.71,0
2012,55,3,BIPIN KANTILAL PANCHAL,GPP,1943,SABARMATI,1.28,0.05,0
2012,55,4,DR. MUKUL SINHA (ADVOCATE),NSM,1860,SABARMATI,1.23,0.22,0
2012,55,5,PARMAR DEVENDRA DANABHAI,BSP,1527,SABARMATI,1.01,0,0
2012,56,1,RAJANIKANT MOHANLAL PATEL (R.M. PATEL),BJP,76829,ASARWA,61.33,27.98,0
2012,56,2,SURAJKAR MANGALBHAI HIRABHAI (MANGAL SURAJKAR),INC,41784,ASARWA,33.36,31.8,0
2012,56,3,PIYAJA MOHANBHAI MAGANBHAI (ADVOCATE),BSP,1945,ASARWA,1.55,0.34,0
2012,56,4,DR. SONARA KANTILAL BHAVANBHAI,IND,1516,ASARWA,1.21,0.26,0
2012,56,5,CHANDRAVADAN S. PARMAR (CHANDRAKANT),GPP,1193,ASARWA,0.95,0.26,0
2012,56,6,RATHOD YOGESHKUMAR KANTILAL,IND,873,ASARWA,0.7,0.23,0
2012,56,7,NADIYA JASHUBHAI DHANJIBHAI,BhDC,583,ASARWA,0.47,0.03,0
2012,56,8,RATHOD NARANBHAI LAVJIBHAI,IND,540,ASARWA,0.43,0,0
2012,57,1,BABUBHAI JAMNADAS PATEL,BJP,95813,DASKROI,55.09,21.64,84.62873347
2012,57,2,BARAIYA LAXMANBHAI AMBALAL,INC,58180,DASKROI,33.45,29.22,84.62873347
2012,57,3,GAJERA RAJESHBHAI JERAMBHAI,GPP,7363,DASKROI,4.23,2.33,84.62873347
2012,57,4,RAJYAGURU KIRITBHAI VRAJLAL,IND,3314,DASKROI,1.91,0.19,84.62873347
2012,57,5,CHAUHAN JAGDISHBHAI KESHABHAI,BSP,2983,DASKROI,1.72,0.87,84.62873347
2012,57,6,JALPABEN BIPINBHAI PATEL,IND,1466,DASKROI,0.84,0.17,84.62873347
2012,57,7,BAROT BHUPENDRA BHIKHABHAI,IND,1178,DASKROI,0.68,0.06,84.62873347
2012,57,8,SURESHBHAI KARSHANBHAI KOLIPATEL,SP,1080,DASKROI,0.62,0.21,84.62873347
2012,57,9,CHAUHAN KAMLESHSINH SURSINH,IND,714,DASKROI,0.41,0.01,84.62873347
2012,57,10,DAVE DHAVAL HASMUKHBHAI,SVPP,701,DASKROI,0.4,0.02,84.62873347
2012,57,11,KANTIBHAI LAKHABHAI RAVAL,IND,663,DASKROI,0.38,0.11,84.62873347
2012,57,12,MAKWANA BABUBHAI PAMABHAI,LJP,463,DASKROI,0.27,0,84.62873347
2012,58,1,CHUDASAMA BHUPENDRASINH MANUBHA,BJP,75242,DHOLKA,52.15,13.06,72.62106499
2012,58,2,CHAVDA PRADYUMANSINH PRATAPBHAI,INC,56397,DHOLKA,39.09,36.58,72.62106499
2012,58,3,MAKWANA BHAVUBHAI POPATBHAI,IND,3628,DHOLKA,2.51,0.22,72.62106499
2012,58,4,VAGHELA ALPESHSINH SURUBHA,IND,3311,DHOLKA,2.29,0.46,72.62106499
2012,58,5,BHAILALBHAI KALUBHAI PANDAV,BSP,2644,DHOLKA,1.83,0.87,72.62106499
2012,58,6,RAJESH JASHBHAI PATEL,GPP,1396,DHOLKA,0.97,0.53,72.62106499
2012,58,7,KIRTISINH HEMANTSINH ZALA,IND,630,DHOLKA,0.44,0.01,72.62106499
2012,58,8,TAI ABDULSATTAR GULAMRASUL,IND,617,DHOLKA,0.43,0.14,72.62106499
2012,58,9,MIR GHANSHYAMBHAI VAGHUBHAI,LJP,408,DHOLKA,0.28,0,72.62106499
2012,59,1,LALJIBHAI CHATURBHAI KOLIPATEL,BJP,77573,DHANDHUKA,56.07,20.44,78.55578615
2012,59,2,M.M. SHAH,INC,49296,DHANDHUKA,35.63,32.26,78.55578615
2012,59,3,SARVAIYA DHIRUBHAI AMARSHIBHAI,IND,4667,DHANDHUKA,3.37,2.25,78.55578615
2012,59,4,DESAI BHARATKUMAR NANALAL,GPP,1553,DHANDHUKA,1.12,0.02,78.55578615
2012,59,5,VEGAD ABHABHAI RAGHAVBHAI,IND,1524,DHANDHUKA,1.1,0.01,78.55578615
2012,59,6,GORAHVA VINODBHAI SHIVABHAI,CPM,1509,DHANDHUKA,1.09,0.49,78.55578615
2012,59,7,MENIYA BATUKBHAI JINABHAI,IND,831,DHANDHUKA,0.6,0.07,78.55578615
2012,59,8,MITABEN PRABHUDAS GOHEL,BSP,741,DHANDHUKA,0.54,0.05,78.55578615
2012,59,9,BHITORA JAGDISHBHAI HARJIBHAI,IND,668,DHANDHUKA,0.48,0,78.55578615
2012,60,1,MAKWANA PUNAMBHAI KALABHAI,BJP,65404,DASADA,49.16,8,90.28
2012,60,2,MANHARLAL MAGANLAL MAKWANA,INC,54764,DASADA,41.16,38.4,90.28
2012,60,3,MAKWANA NARESHBHAI TEJABHAI,BSP,3670,DASADA,2.76,0.43,90.28
2012,60,4,MAKWANA UKABHAI AMARABHAI,IND,3093,DASADA,2.32,0.14,90.28
2012,60,5,GOHIL SURESHBHAI HARKHABHAI,GPP,2911,DASADA,2.19,0.75,90.28
2012,60,6,KOCHADIYA BABABHAI ANADABHAI,IND,1907,DASADA,1.43,0.46,90.28
2012,60,7,AJMALBHAI RAMABHAI VANIYA,IND,1298,DASADA,0.98,0,90.28
2012,61,1,SOMABHAI GANDALAL KOLIPATEL,INC,72203,LIMBDI,45.65,0.99,88.09687483
2012,61,2,KIRITSINH JITUBHA RANA,BJP,70642,LIMBDI,44.66,41.43,88.09687483
2012,61,3,HIMATBHAI KANJIBHAI MITHAPARA,IND,5103,LIMBDI,3.23,1.61,88.09687483
2012,61,4,SOLANKI PRAVINSINH SAMATSINH,GPP,2560,LIMBDI,1.62,0.36,88.09687483
2012,61,5,SALAIYA VALJIBHAI NANUBHAI,IND,1996,LIMBDI,1.26,0.11,88.09687483
2012,61,6,DINESHBHAI CHHAGANBHAI SOLANKI,BSP,1826,LIMBDI,1.15,0.3,88.09687483
2012,61,7,BHAGAVANBHAI PUNJABHAI RATHOD,IND,1344,LIMBDI,0.85,0.42,88.09687483
2012,61,8,BHATHANIYA AEBHABAHI UKABHAI,IND,673,LIMBDI,0.43,0.12,88.09687483
2012,61,9,CHAVDA MAHENDRAKUMAR MAGANBHAI,RPI(A),490,LIMBDI,0.31,0.07,88.09687483
2012,61,10,PARMAR BHOGILAL DANABHAI,IND,384,LIMBDI,0.24,0.02,88.09687483
2012,61,11,CHAUHAN DHIRUBHAI JEMABHAI,IND,345,LIMBDI,0.22,0.01,88.09687483
2012,61,12,PARMAR VASARAMBHAI BAVALBHAI,IJP,337,LIMBDI,0.21,0.04,88.09687483
2012,61,13,DABHI MOHANBHAI TULSIBHAI,IND,277,LIMBDI,0.18,0,88.09687483
2012,62,1,DOSHI VARSHABEN NARENDRABHAI,BJP,83049,WADHWAN,51.39,10.86,29.4215543
2012,62,2,VYAS HIMANSHU CHIMANLAL,INC,65491,WADHWAN,40.52,38.62,29.4215543
2012,62,3,LIMBADIYA KANTILAL VITTHALBHAI,IND,3080,WADHWAN,1.91,0.24,29.4215543
2012,62,4,ISHWARBHAI NATHUBHAI PATEL,GPP,2694,WADHWAN,1.67,0.48,29.4215543
2012,62,5,AGHARA GHANSHYAMBHAI KANJIBHAI,BSP,1919,WADHWAN,1.19,0.52,29.4215543
2012,62,6,PARSOTAMBHAI HIRABHAI YADAV,IND,1079,WADHWAN,0.67,0.13,29.4215543
2012,62,7,KAVAR GANESHBHAI GOVINDBHAI,JD(U),865,WADHWAN,0.54,0,29.4215543
2012,62,8,BAVALIYA SIDIKBHAI ABUBHAI,IND,861,WADHWAN,0.53,0.01,29.4215543
2012,62,9,TUNDIA PRAMJIBHAI VIRJIBHAI,IND,844,WADHWAN,0.52,0.16,29.4215543
2012,62,10,PARMAR PRABHUBHAI GOKALBHAI,IND,581,WADHWAN,0.36,0.07,29.4215543
2012,62,11,JAM SULEMAN HASANBHAI,IND,467,WADHWAN,0.29,0.07,29.4215543
2012,62,12,THAKAR SATISHCHANDRA GAJANAND,IND,348,WADHWAN,0.22,0.01,29.4215543
2012,62,13,MAKWANA UKABHAI AMARABHAI,IJP,339,WADHWAN,0.21,0,29.4215543
2012,63,1,SHAMJIBHAI BHIMJIBHAI CHAUHAN,BJP,72111,CHOTILA,50.13,8.32,81.24689116
2012,63,2,FATEPARA DEVJIBHAI GOVINDBHAI,INC,60139,CHOTILA,41.81,38.86,81.24689116
2012,63,3,CHOTHABHAI CHHANABHAI SARLA,IND,4250,CHOTILA,2.95,0.87,81.24689116
2012,63,4,NAKIYA HAKABHAI MOHANBHAI,GPP,2993,CHOTILA,2.08,0.29,81.24689116
2012,63,5,MATUDIYA MANUBHAI SHANKARBHAI,BSP,2570,CHOTILA,1.79,0.56,81.24689116
2012,63,6,BOSIYA KANJIBHAI RAMJIBHAI,ASP,1771,CHOTILA,1.23,0,81.24689116
2012,64,1,KAVADIA JAYANTIBHAI RAMJIBHAI,BJP,87621,DHRANGADHRA,47.61,9.46,72.45611645
2012,64,2,JAYESHBHAI HARILAL PATEL,INC,70218,DHRANGADHRA,38.15,31.14,72.45611645
2012,64,3,PARMAR DHIRAJBHAI POPATBHAI,GPP,12911,DHRANGADHRA,7.02,4.09,72.45611645
2012,64,4,SANGHANI SAILESHBHAI SANTILAL,IND,5392,DHRANGADHRA,2.93,1.65,72.45611645
2012,64,5,DEVJIBHAI GOKALBHAI SOLANKI,BSP,2350,DHRANGADHRA,1.28,0.57,72.45611645
2012,64,6,RATHOD NAGARBHAI HARJIBHAI,IND,1297,DHRANGADHRA,0.7,0.04,72.45611645
2012,64,7,PARMAR SAVJIBHAI KARSHANBHAI,IND,1222,DHRANGADHRA,0.66,0.24,72.45611645
2012,64,8,NITINKUMAR DHIRAJBHAI PATEL,IND,783,DHRANGADHRA,0.43,0.1,72.45611645
2012,64,9,KOLI SANJAYBHAI DHIRAJBHAI,IND,591,DHRANGADHRA,0.32,0.03,72.45611645
2012,64,10,BHATIYA NARANBHAI KEHARBHAI,SP,530,DHRANGADHRA,0.29,0.02,72.45611645
2012,64,11,DANGI MAHASUKHBHAI AMRUTLAL,IND,491,DHRANGADHRA,0.27,0.09,72.45611645
2012,64,12,JAGDISHBHAI KANJIBHAI PATEL,IND,326,DHRANGADHRA,0.18,0.01,72.45611645
2012,64,13,KAUSHIKKUMAR PRABHUBHAI PATEL,IND,308,DHRANGADHRA,0.17,0,72.45611645
2012,65,1,AMRUTIYA KANTILAL SHIVABHAI,BJP,77386,MORVI,48.01,1.71,29.86204858
2012,65,2,BRIJESH MERJA,INC,74626,MORVI,46.3,44.71,29.86204858
2012,65,3,S.P. MULTANI,IND,2560,MORVI,1.59,0.18,29.86204858
2012,65,4,SOLANKI MANUBHAI DEVJIBHAI,BSP,2266,MORVI,1.41,0.3,29.86204858
2012,65,5,MANOJBHAI JIVRAJBHAI PANARA,GPP,1781,MORVI,1.11,0.24,29.86204858
2012,65,6,TARAIYA ANVAR BAUDINBHAI,IND,1399,MORVI,0.87,0.45,29.86204858
2012,65,7,JAGDISHBHAI VALJIBHAI DEVATKA,ABMSD,669,MORVI,0.42,0.11,29.86204858
2012,65,8,THAKER PANKAJBHAI BALVANTRAY,IND,486,MORVI,0.3,0,29.86204858
2012,66,1,KUNDARIYA MOHANBHAI KALYANJIBHAI,BJP,63630,TANKARA,42.42,10.27,89.88871528
2012,66,2,VADAVIYA MAGANBHAI DHANJIBHAI,INC,48223,TANKARA,32.15,21.65,89.88871528
2012,66,3,KAGATHARA LALITKUMAR KARAMSHIBHAI,IND,15746,TANKARA,10.5,3.13,89.88871528
2012,66,4,BHIMANI DHIRAJLAL KANJIBHAI,GPP,11051,TANKARA,7.37,5.08,89.88871528
2012,66,5,RAMJIBHAI JIVABHAI RATHOD,IND,3432,TANKARA,2.29,0.1,89.88871528
2012,66,6,TOLIYA HAMIRBHAI SAGARAMBHAI,BSP,3283,TANKARA,2.19,1.48,89.88871528
2012,66,7,KUBAVAT ATULBHAI KANUBHAI,JD(U),1066,TANKARA,0.71,0.11,89.88871528
2012,66,8,PADSUMBIYA MANJIBHAI DAYABHAI,IND,897,TANKARA,0.6,0.08,89.88871528
2012,66,9,MANISH ARJANBHAI DETROJA,IND,775,TANKARA,0.52,0.17,89.88871528
2012,66,10,ZAPDA DHARMESHBHAI BHIKHABHAI,IND,527,TANKARA,0.35,0.02,89.88871528
2012,66,11,JADEJA SATUBHA AMARSANG,IND,501,TANKARA,0.33,0,89.88871528
2012,66,12,KASUNDRA YOGESHKUMAR VASRAMBHAI,IND,498,TANKARA,0.33,0.09,89.88871528
2012,66,13,CHAVDA RAMESHBHAI SHIVABHAI,IND,356,TANKARA,0.24,0,89.88871528
2012,67,1,PEERZADA MAHMAD JAVID ABDUL MUTLEEB,INC,59038,WANKANER,38.92,3.5,77.19769019
2012,67,2,SOMANI JITENDRABHAI KANTILAL (JITU SOMANI),BJP,53727,WANKANER,35.41,15.43,77.19769019
2012,67,3,BAVARAVA PARASOTAMBHAI VERSHIBHAI,GPP,30319,WANKANER,19.98,17.84,77.19769019
2012,67,4,HASAMUKHBHAI BABUBHAI BHUT,IND,3249,WANKANER,2.14,0.96,77.19769019
2012,67,5,RATHOD MOHMEDBHAI REHMANBHAI,BSP,1793,WANKANER,1.18,0.24,77.19769019
2012,67,6,OZA BHARATBHAI KANTILAL,IND,1435,WANKANER,0.95,0.23,77.19769019
2012,67,7,PADAYA MANUBHAI SIDABHAI,IND,1088,WANKANER,0.72,0.02,77.19769019
2012,67,8,MOHAMMADARIF DINMAHAMMAD DATARI,IND,1061,WANKANER,0.7,0,77.19769019
2012,68,1,RAJGURU INDRANIL SANJAYBHAI,INC,60877,RAJKOT EAST,41.97,2.95,0
2012,68,2,SHUKLA KASHYAP CHIMANBHAI,BJP,56605,RAJKOT EAST,39.03,25.24,0
2012,68,3,AMBLIA PRAVINBHAI GHUSABHAI,GPP,20003,RAJKOT EAST,13.79,11.61,0
2012,68,4,ROJASHRA PRAVIN RAVJIBHAI,IND,3159,RAJKOT EAST,2.18,0.17,0
2012,68,5,KHURESHI RAZAK DAUDBHAI,BSP,2910,RAJKOT EAST,2.01,1.45,0
2012,68,6,NAIR RAMCHANDRABHAI KRISHNANBHAI,CPM,802,RAJKOT EAST,0.55,0.08,0
2012,68,7,GADHIYA DEVRAJBHAI DUNGARBHAI,IND,681,RAJKOT EAST,0.47,0,0
2012,69,1,VAJUBHAI RUDABHAI VALA,BJP,90405,RAJKOT WEST,54.17,14.97,0
2012,69,2,ATUL RASIKBHAI RAJANI,INC,65427,RAJKOT WEST,39.2,36.09,0
2012,69,3,MAKADIA JAYDEEP JAYANTIBHAI,GPP,5194,RAJKOT WEST,3.11,2.04,0
2012,69,4,SANDIPBHAI HARGOVINDBHAI JIVARAJANI,IND,1784,RAJKOT WEST,1.07,0.08,0
2012,69,5,SANCHANIYA PRAVINBHAI DAMJIBHAI,BSP,1645,RAJKOT WEST,0.99,0.64,0
2012,69,6,SAIYAD HUSENBHAI SULTANBHAI,IND,579,RAJKOT WEST,0.35,0.06,0
2012,69,7,KALAVADIA JIGNESH BHIMJIBHAI,IND,485,RAJKOT WEST,0.29,0.11,0
2012,69,8,RASILABEN HASMUKHBHAI CHAUHAN,IND,303,RAJKOT WEST,0.18,0.03,0
2012,69,9,DOSHI MANISHBHAI ANANTRAI,IND,255,RAJKOT WEST,0.15,0,0
2012,69,10,CHAUHAN JITENDRABHAI BHURABHAI,IND,252,RAJKOT WEST,0.15,0.03,0
2012,69,11,THOLIYA NARSIBHAI KANJIBHAI (PATEL NARSIBHAI KANJIBHAI),RKSP,200,RAJKOT WEST,0.12,0,0
2012,69,12,PRAVINBHAI MEGHJIBHAI DENGDA,IND,196,RAJKOT WEST,0.12,0.02,0
2012,69,13,KARVA ARIFBHAI BABUBHAI (KALVA),IND,166,RAJKOT WEST,0.1,0,0
2012,70,1,GOVIND PATEL,BJP,77308,RAJKOT SOUTH,56.49,20.81,0
2012,70,2,DONGA MITUL HIMATBHAI,INC,48831,RAJKOT SOUTH,35.68,29.54,0
2012,70,3,KACHA RASHMINBHAI CHHAGANBHAI,GPP,8410,RAJKOT SOUTH,6.15,4.97,0
2012,70,4,RUDRAPRATAPSINH RAGHUVIRSINH RANA,IND,1608,RAJKOT SOUTH,1.17,0.66,0
2012,70,5,PATHAN BISMILLA ABDULKHAN (BABAKHAN PATHAN),IND,700,RAJKOT SOUTH,0.51,0,0
2012,71,1,BHANUBEN MANOHARBHAI BABARIYA,BJP,57753,RAJKOT RURAL,38.61,7.67,51.85858752
2012,71,2,SAGATHIYA LAKHABHAI JETHABHAI,INC,46287,RAJKOT RURAL,30.95,6.58,51.85858752
2012,71,3,GIRISHBHAI HARIBHAI PARMAR,GPP,36446,RAJKOT RURAL,24.37,21.88,51.85858752
2012,71,4,PUSHPABEN ASHOKBHAI VALA,BSP,3723,RAJKOT RURAL,2.49,0.75,51.85858752
2012,71,5,PRAVINBHAI MEGHJIBHAI DENGDA,IND,2608,RAJKOT RURAL,1.74,1.08,51.85858752
2012,71,6,KALPESH RAMJIBHAI VAGHELA,IND,999,RAJKOT RURAL,0.67,0.02,51.85858752
2012,71,7,CHAVDA LAKHMANBHAI DEVJIBHAI,IND,965,RAJKOT RURAL,0.65,0.12,51.85858752
2012,71,8,GEDIYA MANOJBHAI NATHABHAI,IND,783,RAJKOT RURAL,0.52,0,51.85858752
2012,72,1,GOHEL BHOLABHAI BHIKHABHAI,INC,78055,JASDAN,47.48,6.6,85.22134603
2012,72,2,DR. BHARATBHAI KHODABHAI BOGHRA,BJP,67208,JASDAN,40.88,36.61,85.22134603
2012,72,3,DEVSHIBHAI NAGJIBHAI TADHANI,GPP,7028,JASDAN,4.27,2.27,85.22134603
2012,72,4,HANDA BABUBHAI CHANABHAI,IND,3296,JASDAN,2,0.6,85.22134603
2012,72,5,RAGHVANI SAVABHAI BACHUBHAI,IND,2311,JASDAN,1.41,0.41,85.22134603
2012,72,6,DINESHBHAI VALJIBHAI GOTI,BSP,1640,JASDAN,1,0.51,85.22134603
2012,72,7,KAMDAR HUSENBHAI MUSABHAI,IJP,806,JASDAN,0.49,0.05,85.22134603
2012,72,8,RAVAL SHAILESHBHAI BALVANTBHAI,IND,725,JASDAN,0.44,0.02,85.22134603
2012,72,9,BERANI VALLABHBHAI PREMJIBHAI,IND,698,JASDAN,0.42,0.09,85.22134603
2012,72,10,BAMBHANIYA VALLABHBHAI PREMJIBHAI,IND,551,JASDAN,0.34,0.02,85.22134603
2012,72,11,JANI BHARATBHAI PRAHLADBHAI,IND,524,JASDAN,0.32,0.1,85.22134603
2012,72,12,DOBARIYA RATILAL BACHUBHAI,SP,362,JASDAN,0.22,0,85.22134603
2012,72,13,TRAMTA AMRABHAI SAGRAMBHAI,IND,358,JASDAN,0.22,0.03,85.22134603
2012,72,14,JADAVBHAI JINABHAI MER,IND,309,JASDAN,0.19,0,85.22134603
2012,72,15,OLAKIYA NARANBHAI RAMJIBHAI,IND,307,JASDAN,0.19,0.05,85.22134603
2012,72,16,JOGARAJIYA SURESHBHAI MERAMBHAI,IND,225,JASDAN,0.14,0,85.22134603
2012,73,1,JADEJA JAYRAJSINH TEMUBHA,BJP,79709,GONDAL,53.74,13.33,59.32651315
2012,73,2,ZADAFIA GORDHANBHAI PRAGAJIBHAI,GPP,59943,GONDAL,40.42,38.04,59.32651315
2012,73,3,VAGHASIYA CHANDUBHAI BACHUBHAI,NCP,3519,GONDAL,2.37,0.42,59.32651315
2012,73,4,MUKESHBHAI  DHOLUMAL VARDHANI,IND,2894,GONDAL,1.95,0.87,59.32651315
2012,73,5,MAKWANA KARSHANBHAI MITHABHAI,LJP,1606,GONDAL,1.08,0.65,59.32651315
2012,73,6,THUMMAR DINESHBHAI NATHABHAI,IND,644,GONDAL,0.43,0,59.32651315
2012,74,1,RADADIYA JAYESHBHAI VITTHALBHAI,INC,85827,JETPUR,50.5,10.61,60.9627298
2012,74,2,KORAT JASHUBEN SAVJIBHAI,BJP,67794,JETPUR,39.89,38.39,60.9627298
2012,74,3,SOLANKI JITENDRABHAI JERAMBHAI,BSP,2556,JETPUR,1.5,0.14,60.9627298
2012,74,4,RAMESHBHAI KARSHANBHAI BALDHA,GPP,2323,JETPUR,1.37,0.15,60.9627298
2012,74,5,SHEKH SALIMBHAI NURUDDIN,IND,2062,JETPUR,1.21,0.06,60.9627298
2012,74,6,SONDARVA MANGABHAI DANABHAI,IND,1961,JETPUR,1.15,0.1,60.9627298
2012,74,7,SATASIYA MUKESHBHAI DAMJIBHAI,IND,1783,JETPUR,1.05,0.31,60.9627298
2012,74,8,SOLANKI RAHIMBHAI AMADBHAI,IND,1248,JETPUR,0.73,0.03,60.9627298
2012,74,9,MAKRANI RAFIKBHAI OSMANBHAI,IND,1202,JETPUR,0.71,0.4,60.9627298
2012,74,10,KANTARIA KHIMJIBHAI BATUKBHAI,IND,528,JETPUR,0.31,0,60.9627298
2012,74,11,NATHABHAI KANABHAI CHAVDA,IND,521,JETPUR,0.31,0.09,60.9627298
2012,74,12,DEVARSHIBHAI CHANABHAI MAKWANA,IND,365,JETPUR,0.21,0.01,60.9627298
2012,74,13,BHUT ASHOKBHAI BHIMJIBHAI,SP,346,JETPUR,0.2,0.04,60.9627298
2012,74,14,CHOTALIYA SHABIR YUNUSBHAI,IND,280,JETPUR,0.16,0,60.9627298
2012,74,15,RATHOD SHAMJIBHAI MADHABHAI,DBSP,275,JETPUR,0.16,0.02,60.9627298
2012,74,16,GAJERA ROHITBHAI  GOVINDBHAI,IND,245,JETPUR,0.14,0.01,60.9627298
2012,74,17,CHANDRAKANT MAGANBHAI RAMOLIYA,IND,232,JETPUR,0.14,0.01,60.9627298
2012,74,18,DEGADA JATINKUMAR KANTILAL,IND,215,JETPUR,0.13,0.02,60.9627298
2012,74,19,DUDHATRA MUKUNDBHAI GOVINDBHAI,IND,175,JETPUR,0.1,0,60.9627298
2012,75,1,RADADIYA VITHALBHAI HANSRAJBHAI,INC,76189,DHORAJI,46.46,1.79,51.42567164
2012,75,2,HARILAL MADHAVJIBHAI PATEL,BJP,73246,DHORAJI,44.67,43.15,51.42567164
2012,75,3,NANDANIYA HARESHBHAI KANJIBHAI,BSP,2494,DHORAJI,1.52,0.27,51.42567164
2012,75,4,SONDARVA ASHOK NANJI,IND,2057,DHORAJI,1.25,0.05,51.42567164
2012,75,5,SANJAY JINABHAI DABHI,IND,1983,DHORAJI,1.21,0.19,51.42567164
2012,75,6,SAMA AMINBHAI ISHAKBHAI,IND,1679,DHORAJI,1.02,0.03,51.42567164
2012,75,7,SOJITRA RAMNIKBHAI VALLABHABHAI,IND,1635,DHORAJI,1,0.13,51.42567164
2012,75,8,ADHADUK JAGADISHBHAI RATANSIBHAI,GPP,1429,DHORAJI,0.87,0.53,51.42567164
2012,75,9,DER JETHABHAI FOGALBHAI,IND,564,DHORAJI,0.34,0.07,51.42567164
2012,75,10,RAJESH RAVJIBHAI SONDARVA,DBSP,451,DHORAJI,0.28,0.02,51.42567164
2012,75,11,BUKHARI SHAHNAVAZ ABUMIYA,IND,426,DHORAJI,0.26,0,51.42567164
2012,75,12,VAKIL VINZUDA RANJITBHAI NARANBHAI,IND,419,DHORAJI,0.26,0.03,51.42567164
2012,75,13,DHARAR JUBER ASHRAFBHAI,LJP,374,DHORAJI,0.23,0.05,51.42567164
2012,75,14,KANSAGARA GIRISHKUMAR KANJIBHAI,IND,290,DHORAJI,0.18,0.01,51.42567164
2012,75,15,KALADIYA RAJESHBHAI SOMABHAI,IND,275,DHORAJI,0.17,0.02,51.42567164
2012,75,16,MARVANIYA KIRTIKUMAR BAVANJIBHAI,IND,247,DHORAJI,0.15,0.02,51.42567164
2012,75,17,BAKALI IMTIYAZ HANIFBHAI,IND,216,DHORAJI,0.13,0,51.42567164
2012,76,1,CHAVDA MEGHJIBHAI AMARABHAI,BJP,49027,KALAWAD,36.47,4.55,79.55593948
2012,76,2,PARMAR DINESHBHAI RUDABHAI  (DR. DINESH  PARMAR),INC,42908,KALAWAD,31.92,7.06,79.55593948
2012,76,3,GIRDHARBHAI ALABHAI VAGHELA,GPP,33418,KALAWAD,24.86,22.56,79.55593948
2012,76,4,PADHIYAR LALAJIBHAI KARABHAI,IND,3096,KALAWAD,2.3,0.39,79.55593948
2012,76,5,BOKHANI ARVINDBHAI GORJIBHAI,BSP,2577,KALAWAD,1.92,0.55,79.55593948
2012,76,6,CHAVDA MEGHJIBHAI UGABHAI,IND,1844,KALAWAD,1.37,0.22,79.55593948
2012,76,7,CHAVDA MEGHJIBHAI PITHABHAI,IND,1550,KALAWAD,1.15,0,79.55593948
2012,77,1,RAGHAVJIBHAI HANSRAJBHAI PATEL,INC,60499,JAMNAGAR RURAL,44.76,2.44,86.86136257
2012,77,2,FALDU RANCHHODBHAI CHANABHAI (R.C. FALDU),BJP,57195,JAMNAGAR RURAL,42.31,38.71,86.86136257
2012,77,3,DODEPOTRA JUSAB HAJIBHAI,BSP,4875,JAMNAGAR RURAL,3.61,1.89,86.86136257
